content,score,thumbsUpCount,comentario_limpio,comentario_limpio_corregido,comentario_lemmatizado,tokens
No me puede funcionar,2,0,puede funcionar,puede funcionar,poder funcionar,"['poder', 'funcionar']"
NO SIRVE,1,0,sirve,sirve,servir,['servir']
Bien nomas pero no deja crear cuenta,5,0,bien nomas deja crear cuenta,bien nomas deja crear cuenta,bien noma dejar crear cuenta,"['bien', 'noma', 'dejar', 'crear', 'cuenta']"
"La app es muy buena, pero deberían de aceptar menores de edad, pero que las cuentas sean controladas por los padres, pero fuera de eso, la app es demasiado útil.",3,0,app buena deberían aceptar menores edad cuentas controladas padres app demasiado útil,app buena deberian aceptar menores edad cuentas controladas padres app demasiado util,app buen deberiar aceptar menor edad cuenta controlado padr app demasiado util,"['app', 'buen', 'deberiar', 'aceptar', 'menor', 'edad', 'cuenta', 'controlado', 'padr', 'app', 'demasiado', 'util']"
"La peor aplicación, no son capaces de tener un buen reconocimiento facial como otros aplicativos que no hacen tanto show por recuperar las cuentas",1,3,peor aplicación capaces tener buen reconocimiento facial aplicativos hacen show recuperar cuentas,peor aplicacion capaces tener buen reconocimiento facial aplicativos hacen show recuperar cuentas,peor aplicacion capaz tener buen reconocimiento facial aplicativo hacer show recuperar cuenta,"['peor', 'aplicacion', 'capaz', 'tener', 'buen', 'reconocimiento', 'facial', 'aplicativo', 'hacer', 'show', 'recuperar', 'cuenta']"
Cuándo intenté recuperar mi cuenta de un bloqueo los que manejan WhatsApp no me ayudaron ni respondieron mi mensajes la verdad muy mala atención,1,1,cuándo intenté recuperar cuenta bloqueo manejan whatsapp ayudaron respondieron mensajes verdad mala atención,cuando intente recuperar cuenta bloqueo manejan whatsapp ayudaron respondieron mensajes verdad mala atencion,intente recuperar cuenta bloqueo manejar whatsapp ayudar responder mensaje verdad malo atencion,"['intente', 'recuperar', 'cuenta', 'bloqueo', 'manejar', 'whatsapp', 'ayudar', 'responder', 'mensaje', 'verdad', 'malo', 'atencion']"
Por ahora me está resultando útil,4,0,ahora resultando útil,ahora resultando util,ahora resultar util,"['ahora', 'resultar', 'util']"
Buenas,5,0,buenas,buenas,buena,['buena']
No me permite crear una cuenta,1,0,permite crear cuenta,permite crear cuenta,permitir crear cuenta,"['permitir', 'crear', 'cuenta']"
No puedo recargar credito me sale recarga fallida,5,0,puedo recargar credito sale recarga fallida,puedo recargar credito sale recarga fallida,poder recargar credito salir recargo fallido,"['poder', 'recargar', 'credito', 'salir', 'recargo', 'fallido']"
No m deja crearme una cuenta me sale error ya nose que hacer,1,0,m deja crearme cuenta sale error nose hacer,m deja crearme cuenta sale error nose hacer,dejar crearme cuenta salir error no él hacer,"['dejar', 'crearme', 'cuenta', 'salir', 'error', 'no', 'él', 'hacer']"
Estoy a gusto con yape x q tengo mi negocio i mis clientes me pagan con yape i es seguro i practico,5,0,gusto yape x q negocio i clientes pagan yape i seguro i practico,gusto yape x q negocio i clientes pagan yape i seguro i practico,gusto yape negocio client pagar yape seguro practico,"['gusto', 'yape', 'negocio', 'client', 'pagar', 'yape', 'seguro', 'practico']"
Pésima aplicación,1,0,pésima aplicación,pesima aplicacion,pesimar aplicacion,"['pesimar', 'aplicacion']"
Buena la aplicación,5,0,buena aplicación,buena aplicacion,buen aplicacion,"['buen', 'aplicacion']"
"Funciona bien al principio pero después se cuelga, entras y aparece error",3,0,funciona bien principio después cuelga entras aparece error,funciona bien principio despues cuelga entras aparece error,funcionar bien principio despues colgar entra aparecer error,"['funcionar', 'bien', 'principio', 'despues', 'colgar', 'entra', 'aparecer', 'error']"
"Pongan el gaming para recargar para los juegos como Roblox o fre fire sería algo bueno, hay arta gente que lo están pidiendo.",5,0,pongan gaming recargar juegos roblox fre fire bueno arta gente pidiendo,pongan gaming recargar juegos roblox fre fire bueno arta gente pidiendo,poner gaming recargar juegos roblox fre fire bueno artar gente pedir,"['poner', 'gaming', 'recargar', 'juegos', 'roblox', 'fre', 'fire', 'bueno', 'artar', 'gente', 'pedir']"
No me permite crear mí cuenta.,1,0,permite crear cuenta,permite crear cuenta,permitir crear cuenta,"['permitir', 'crear', 'cuenta']"
Es majnifico ☺️☺️,5,0,majnifico ☺️☺️,majnifico ☺☺,majnifico,['majnifico']
"Yape Bolivia puede recibir dinero de manera internacional??? . Es que instale esta versión de Yape ya q soy de Bolivia per quisiera ganar ingresos con pagos de otros países. Por eso la pregunta (¿se puede recibir pagos de manera internacional, con Yape Bolivia??!)",4,7,yape bolivia puede recibir dinero manera internacional instale versión yape q bolivia per quisiera ganar ingresos pagos países pregunta ¿se puede recibir pagos manera internacional yape bolivia,yape bolivia puede recibir dinero manera internacional instale version yape q bolivia per quisiera ganar ingresos pagos paises pregunta ¿se puede recibir pagos manera internacional yape bolivia,yape bolivia poder recibir dinero manera internacional instalar version yape bolivia per querer ganar ingreso pago país preguntar poder recibir pago manero internacional yape bolivia,"['yape', 'bolivia', 'poder', 'recibir', 'dinero', 'manera', 'internacional', 'instalar', 'version', 'yape', 'bolivia', 'per', 'querer', 'ganar', 'ingreso', 'pago', 'país', 'preguntar', 'poder', 'recibir', 'pago', 'manero', 'internacional', 'yape', 'bolivia']"
"Es muy buena, puedes tener tus Bolivianos en yape, de forma digital y no se puede perder ni fregar los billetes porque es digital y dentro de la app puedes pagar tus servicios de hogar, yape es excelente 😁😁",5,70,buena puedes tener bolivianos yape forma digital puede perder fregar billetes digital dentro app puedes pagar servicios hogar yape excelente 😁😁,buena puedes tener bolivianos yape forma digital puede perder fregar billetes digital dentro app puedes pagar servicios hogar yape excelente 😁😁,buen poder tener boliviano yape forma digital poder perder fregar billete digital dentro app poder pagar servicio hogar yape excelente,"['buen', 'poder', 'tener', 'boliviano', 'yape', 'forma', 'digital', 'poder', 'perder', 'fregar', 'billete', 'digital', 'dentro', 'app', 'poder', 'pagar', 'servicio', 'hogar', 'yape', 'excelente']"
Colorido Eficiente Real Yendo,4,0,colorido eficiente real yendo,colorido eficiente real yendo,colorido eficiente real ir,"['colorido', 'eficiente', 'real', 'ir']"
Me parace Buena LA application,2,0,parace buena application,parace buena application,parace buen application,"['parace', 'buen', 'application']"
No puedo creer que no dejen usar nuestro número que crean con otro número,1,0,puedo creer dejen usar número crean número,puedo creer dejen usar numero crean numero,poder creer dejen usar numero crear numero,"['poder', 'creer', 'dejen', 'usar', 'numero', 'crear', 'numero']"
Exelente 20 estrellas les doy,5,0,exelente estrellas doy,excelente estrellas doy,excelente estrella dar,"['excelente', 'estrella', 'dar']"
"Pésimo , no puedo crear cuenta me aparece que surgió un inconveniente inténtalo más tarde",1,2,pésimo puedo crear cuenta aparece surgió inconveniente inténtalo tarde,pesimo puedo crear cuenta aparece surgio inconveniente intentalo tarde,pesimo poder crear cuenta aparecer surgio inconveniente intentalo tarde,"['pesimo', 'poder', 'crear', 'cuenta', 'aparecer', 'surgio', 'inconveniente', 'intentalo', 'tarde']"
"No puedo ingresar, ya que no puedo crear mi cuenta",1,0,puedo ingresar puedo crear cuenta,puedo ingresar puedo crear cuenta,poder ingresar poder crear cuenta,"['poder', 'ingresar', 'poder', 'crear', 'cuenta']"
No entiendo porque? No me deja entrar que me dice que no esta disponible todo el tiempo,1,0,entiendo deja entrar dice disponible tiempo,entiendo deja entrar dice disponible tiempo,entender dejar entrar decir disponible tiempo,"['entender', 'dejar', 'entrar', 'decir', 'disponible', 'tiempo']"
Muy buena,5,0,buena,buena,buen,['buen']
Muy buena aplicacion,4,0,buena aplicacion,buena aplicacion,buen aplicacion,"['buen', 'aplicacion']"
Muy mala la aplicación ineficiente con problemas en servicios con fallas en su sistema,1,1,mala aplicación ineficiente problemas servicios fallas sistema,mala aplicacion ineficiente problemas servicios fallas sistema,malo aplicacion ineficiente problema servicio falla sistema,"['malo', 'aplicacion', 'ineficiente', 'problema', 'servicio', 'falla', 'sistema']"
Se me bloqueo la cuenta y es difícil desbloquearlo hasta hoy no puedo acceder al yape,1,1,bloqueo cuenta difícil desbloquearlo hoy puedo acceder yape,bloqueo cuenta dificil desbloquearlo hoy puedo acceder yape,bloqueo contar dificil desbloquear él hoy poder acceder yape,"['bloqueo', 'contar', 'dificil', 'desbloquear', 'él', 'hoy', 'poder', 'acceder', 'yape']"
yape es una buena aplicación en todos lados dar el yape,5,0,yape buena aplicación lados dar yape,yape buena aplicacion lados dar yape,yape buen aplicacion lado dar yape,"['yape', 'buen', 'aplicacion', 'lado', 'dar', 'yape']"
"Lo instalo pero no abre, solución por favor",1,0,instalo abre solución favor,instalo abre solucion favor,instalo abrir solucion favor,"['instalo', 'abrir', 'solucion', 'favor']"
No deja ni crear cuenta XD,1,0,deja crear cuenta xd,deja crear cuenta xd,dejar crear cuenta,"['dejar', 'crear', 'cuenta']"
Bien no mas,5,0,bien mas,bien mas,bien mas,"['bien', 'mas']"
"Muy buena app, sirve bastante para cuidar mejor el dinero y eso, sin embargo el servicio de chip al activar doble carga y mandarme una recarga simplemente me manda el mismo monto q recargo x más q activo mi doble carga, lo demás excelente",4,8,buena app sirve bastante cuidar mejor dinero embargo servicio chip activar doble carga mandarme recarga simplemente manda mismo monto q recargo x q activo doble carga demás excelente,buena app sirve bastante cuidar mejor dinero embargo servicio chip activar doble carga mandarme recarga simplemente manda mismo monto q recargo x q activo doble carga demas excelente,buen app servir bastante cuidar mejor dinero embargo servicio chip activar doble carga mandarme recargo simplemente mandar mismo monto recargo activo doble carga demas excelente,"['buen', 'app', 'servir', 'bastante', 'cuidar', 'mejor', 'dinero', 'embargo', 'servicio', 'chip', 'activar', 'doble', 'carga', 'mandarme', 'recargo', 'simplemente', 'mandar', 'mismo', 'monto', 'recargo', 'activo', 'doble', 'carga', 'demas', 'excelente']"
"La aplicación es buena, pero no hay ni un cajero donde se pueda ingresar dinero",1,3,aplicación buena cajero pueda ingresar dinero,aplicacion buena cajero pueda ingresar dinero,aplicacion buen cajero poder ingresar dinero,"['aplicacion', 'buen', 'cajero', 'poder', 'ingresar', 'dinero']"
Bien,5,0,bien,bien,bien,['bien']
Me gusta la aplicación y de hecho es muy eficiente para pagos a distancia sin embargo me gustaría que podamos usar los de 16 años,3,1,gusta aplicación hecho eficiente pagos distancia embargo gustaría podamos usar años,gusta aplicacion hecho eficiente pagos distancia embargo gustaria podamos usar anos,gustar aplicacion hecho eficiente pago distancio embargo gustario poder usar ano,"['gustar', 'aplicacion', 'hecho', 'eficiente', 'pago', 'distancio', 'embargo', 'gustario', 'poder', 'usar', 'ano']"
no me deja crear un cuenta q mal servicio,1,0,deja crear cuenta q mal servicio,deja crear cuenta q mal servicio,dejar crear cuenta mal servicio,"['dejar', 'crear', 'cuenta', 'mal', 'servicio']"
Al principio estaba bien pero ahora me bloquearon,2,0,principio bien ahora bloquearon,principio bien ahora bloquearon,principio bien ahora bloquear,"['principio', 'bien', 'ahora', 'bloquear']"
No puedo recuperar mi yape ....!!cambie de telefono,3,0,puedo recuperar yape cambie telefono,puedo recuperar yape cambie telefono,poder recuperar yape cambiar telefono,"['poder', 'recuperar', 'yape', 'cambiar', 'telefono']"
Buenísimo,5,0,buenísimo,buenisimo,buenisimo,['buenisimo']
Muy bueno,5,0,bueno,bueno,bueno,['bueno']
Excelente app gracias bcp,5,0,excelente app gracias bcp,excelente app gracias bcp,excelente app gracias bcp,"['excelente', 'app', 'gracias', 'bcp']"
Bien,5,0,bien,bien,bien,['bien']
Trato de realizar una transacción y me bota de la aplicación la cual tengo que volver a ingresar... Esto pasa cuando deseo recargar me crédito gracias.,2,2,trato realizar transacción bota aplicación volver ingresar pasa deseo recargar crédito gracias,trato realizar transaccion bota aplicacion volver ingresar pasa deseo recargar credito gracias,tratar realizar transaccion boto aplicacion volver ingresar pasar desear recargar credito gracias,"['tratar', 'realizar', 'transaccion', 'boto', 'aplicacion', 'volver', 'ingresar', 'pasar', 'desear', 'recargar', 'credito', 'gracias']"
Me gusta,5,0,gusta,gusta,gustar,['gustar']
Cuesta crear la aplicación,2,0,cuesta crear aplicación,cuesta crear aplicacion,costar crear aplicacion,"['costar', 'crear', 'aplicacion']"
"Quiero abrir mi cuenta pero me sale que no está disponible la funcionalidad, pero me llega notificaciones qué estoy a un paso de abrir mi cuenta, cuando nisiquiera quiere dar su maldita aplicación",1,18,quiero abrir cuenta sale disponible funcionalidad llega notificaciones paso abrir cuenta nisiquiera quiere dar maldita aplicación,quiero abrir cuenta sale disponible funcionalidad llega notificaciones paso abrir cuenta nisiquiera quiere dar maldita aplicacion,querer abrir cuenta salir disponible funcionalidad llegar notificación pasar abrir cuenta nisiquiero querer dar maldita aplicacion,"['querer', 'abrir', 'cuenta', 'salir', 'disponible', 'funcionalidad', 'llegar', 'notificación', 'pasar', 'abrir', 'cuenta', 'nisiquiero', 'querer', 'dar', 'maldita', 'aplicacion']"
Hio yape desbloquear iap Claudio rojas villez,2,0,hio yape desbloquear iap claudio rojas villez,hio yape desbloquear iap claudio rojas villez,hio yape desbloquear iap claudio rojo villez,"['hio', 'yape', 'desbloquear', 'iap', 'claudio', 'rojo', 'villez']"
Es buena aplicación 🤗,5,1,buena aplicación 🤗,buena aplicacion 🤗,buen aplicacion,"['buen', 'aplicacion']"
"Muy buena aplicación ,pero quiero recargarme crédito para viva y no me sale no sé el porqué pero aquí dice que si se puede hacer esa recarga 🧐",4,1,buena aplicación quiero recargarme crédito viva sale sé porqué aquí dice si puede hacer recarga 🧐,buena aplicacion quiero recargarme credito viva sale se porque aqui dice si puede hacer recarga 🧐,buen aplicacion querer recargarme credito viva salir aqui decir poder hacer recarga,"['buen', 'aplicacion', 'querer', 'recargarme', 'credito', 'viva', 'salir', 'aqui', 'decir', 'poder', 'hacer', 'recarga']"
