content,score,thumbsUpCount,comentario_limpio,comentario_limpio_corregido,comentario_lemmatizado
No le puedo dar una buena calificaciones por que al crear y estas en tom a de selfis no te permite te sale que el usuario esta bloqueado que fraude pero en fin y todavía hay que ponerle una estrella para poder dar una opinión que mal y para poder volver a querer crear te bloquea y tienes que desinstalarlo y volver a instalar,1,39,puedo dar buena calificaciones crear tom selfis permite sale usuario bloqueado fraude fin todavía ponerle estrella poder dar opinión mal poder volver querer crear bloquea desinstalarlo volver instalar,puedo dar buena calificaciones crear tom selfis permite sale usuario bloqueado fraude fin todavia ponerle estrella poder dar opinion mal poder volver querer crear bloquea desinstalarlo volver instalar,poder dar buen calificación crear tom selfis permitir salar usuario bloqueado fraude fin todavia poner él estrella poder dar opinion mal poder volver querer crear bloquea desinstalar él volver instalar
"No me permite crear una cuenta, nunca me llega el mensaje de confirmación",1,1,permite crear cuenta nunca llega mensaje confirmación,permite crear cuenta nunca llega mensaje confirmacion,permitir crear cuenta nunca llegar mensaje confirmacion
Bien,5,0,bien,bien,bien
"Buena app,muy segura y fácil de usar,puedo hacer mis transferencias,pagos y recargas desde mi celular con tan solo unos toques,muy buena aplicación y gran servicio 🙂‍↕️",5,5,buena appmuy segura fácil usarpuedo hacer transferenciaspagos recargas celular tan solo toquesmuy buena aplicación gran servicio 🙂‍↕️,buena appmuy segura facil usarpuedo hacer transferenciaspagos recargas celular tan solo toquesmuy buena aplicacion gran servicio 🙂‍↕,buen appmuy seguro facil usarpuedo hacer transferenciaspago recarga celular tanto solo toquesmuy buen aplicacion gran servicio 🙂 ‍ ↕
Muy buena,5,0,buena,buena,buen
Me gustó mucho la aplicacion,5,0,gustó aplicacion,gusto aplicacion,gusto aplicacion
"Funciona, pero hoy no quiere ingresar",2,0,funciona hoy quiere ingresar,funciona hoy quiere ingresar,funcionar hoy querer ingresar
"Últimamente está fallando al ingresar la app estaba bien hasta hace poco, solucionen sus problemas por favor",1,0,últimamente fallando ingresar app bien hace solucionen problemas favor,ultimamente fallando ingresar app bien hace solucionen problemas favor,ultimamente fallar ingresar app bien hacer solucionar problema favor
"Varias veces me a pasado que cuando me envían dinero no me llega.. a veces uno no se da cuenta por qué no revisa las transacciónes y paga algunas cosas diferentes y ahi si el dinero lo descuentan, y cuando reviso la anterior transferencia no hay el dinero que me enviaron en movimientos 🤦",1,12,varias veces pasado envían dinero llega veces da cuenta revisa transacciónes paga cosas diferentes ahi si dinero descuentan reviso anterior transferencia dinero enviaron movimientos 🤦,varias veces pasado envian dinero llega veces da cuenta revisa transacciones paga cosas diferentes ahi si dinero descuentan reviso anterior transferencia dinero enviaron movimientos 🤦,varios vez pasado enviar dinero llegar vez dar cuenta revisar transacción pagar cosa diferente ahi si dinero descontar reviso anterior transferencio dinero enviar movimiento 🤦
Cuando más se necesita de la app se queda sin sistema y cargando sin llegar a nada,1,1,necesita app queda sistema cargando llegar,necesita app queda sistema cargando llegar,necesitar app quedar sistema cargar llegar
No me deja acceder a mi cuenta pesima aplicacion deben mejorarla,1,0,deja acceder cuenta pesima aplicacion deben mejorarla,deja acceder cuenta pesima aplicacion deben mejorarla,dejar acceder cuenta pesimo aplicacion deber mejorar él
Se me perdio dinero no hay registro de 2 transsacciones y me descontaron,3,0,perdio dinero registro transsacciones descontaron,perdio dinero registro transsacciones descontaron,perder dinero registro transsacción descontar
Es la mejor,5,0,mejor,mejor,mejor
Bien,4,0,bien,bien,bien
Se para cayendo el sistema .. no sirve,1,0,cayendo sistema sirve,cayendo sistema sirve,caer sistema servir
Se está poniendo muy lenta aveces ni carga,1,0,poniendo lenta aveces carga,poniendo lenta aveces carga,poner lento avez cargo
Na esta aplicación es una decepción intente crear mi cuenta y no quiere dice usuario bloqueado otra vez lo intente y me dice lo mismo no recomiendo que lo instale,1,0,na aplicación decepción intente crear cuenta quiere dice usuario bloqueado vez intente dice mismo recomiendo instale,na aplicacion decepcion intente crear cuenta quiere dice usuario bloqueado vez intente dice mismo recomiendo instale,nir aplicacion decepcion intente crear cuenta querer decir usuario bloqueado vez intente decir mismo recomeir instalar
Se traba la porquería,1,0,traba porquería,traba porqueria,trar porquerio
Es una buena aplicacion gente la verdad me gusto mucho,5,0,buena aplicacion gente verdad gusto,buena aplicacion gente verdad gusto,buen aplicacion gente verdad gusto
Por q en esto momento no quiere entrar,1,0,q momento quiere entrar,q momento quiere entrar,q momento querer entrar
ES BUENA,5,0,buena,buena,buen
Es una aplicación fácil de usar algunas veces si es u. Poco lenta,5,1,aplicación fácil usar veces si u lenta,aplicacion facil usar veces si u lenta,aplicacion facil usar vez si u lento
A mí me resultó bien pero ahora tuve un problema no puedo entrar,4,0,resultó bien ahora problema puedo entrar,resulto bien ahora problema puedo entrar,resulto bien ahora problema poder entrar
Bien,5,0,bien,bien,bien
Por lo menos una vez a la semana no quiere dar y me gustaría que lo arreglaran,1,0,menos vez semana quiere dar gustaría arreglaran,menos vez semana quiere dar gustaria arreglaran,menos vez semana querer dar gustaria arreglarar
"CADA VEZ, JUSTO CUANDO QUIERO PAGAR LE PASA ALGO! O ACTUALIZACIÓN O ALGO AHORA NO ENTRA Y DICE SIN CONEXIÓN CUANDO NORMAL ME ENTRAN TODOS LOS MENSAJES DE MESSENGER Y TODO EL INTERNET 😪😪 😪CAMBIARE DE APP PESIMO!👎🏻",1,1,cada vez justo quiero pagar pasa actualización ahora entra dice conexión normal entran mensajes messenger internet 😪😪 😪cambiare app pesimo👎🏻,cada vez justo quiero pagar pasa actualizacion ahora entra dice conexion normal entran mensajes messenger internet 😪😪 😪cambiare app pesimo👎🏻,cada vez justo querer pagar pasar actualizacion ahora entrar decir conexion normal entrar mensaje messenger internet 😪 😪 😪 cambiare app pesimo 👎 🏻
Muy buena aplicación es muy rápido y sencillo de usar,5,1,buena aplicación rápido sencillo usar,buena aplicacion rapido sencillo usar,buen aplicacion rapido sencillo usar
Bien,5,0,bien,bien,bien
"Está app unos meses me resultó muy buena luego ya no quiso dar solo quedaba así leyendo pero nunca entraba, lo desinstale y lo volví instalar ahora ya no reconoce mi número de celular ni mi correo con lo que me había registrado ya no quiere darme la app a parte que deje dinero en mi cuenta.",1,0,app meses resultó buena luego quiso dar solo quedaba así leyendo nunca entraba desinstale volví instalar ahora reconoce número celular correo registrado quiere darme app parte deje dinero cuenta,app meses resulto buena luego quiso dar solo quedaba asi leyendo nunca entraba desinstale volvi instalar ahora reconoce numero celular correo registrado quiere darme app parte deje dinero cuenta,app mes resulto buen luego querer dar solo quedar asi leer nunca entrar desinstale volvi instalar ahora reconocer numero celular correo registrado querer dar yo app parte dejar dinero contar
Un poco lento al entrar pero salva cuando te olvidas la villetera,3,0,lento entrar salva olvidas villetera,lento entrar salva olvidas villetera,lento entrar salva olvida villetera
No me carga yape solicionen eso tengo q pagar una compra,3,0,carga yape solicionen q pagar compra,carga yape solicionen q pagar compra,carga yape solicionar q pagar compra
No puedo ingresar a la aplicación sale cargando y nunca entra espero no sea una estafa está aplicación,5,0,puedo ingresar aplicación sale cargando nunca entra espero estafa aplicación,puedo ingresar aplicacion sale cargando nunca entra espero estafa aplicacion,poder ingresar aplicacion salir cargar nunca entrar esperar estafa aplicacion
No abre la aplicacion estaba funcionando y de repente ya no funciona,2,0,abre aplicacion funcionando repente funciona,abre aplicacion funcionando repente funciona,abrir aplicacion funcionar repente funcionar
Últimamente está fallando no me abre la aplicación,1,0,últimamente fallando abre aplicación,ultimamente fallando abre aplicacion,ultimamente fallar abrir aplicacion
Genial,5,0,genial,genial,genial
Muy mal me robaron dinero Envié por Qr Y el otro no recibió Se lentea la aplicación Tarda en abrir No es confiable,1,0,mal robaron dinero envié qr recibió lentea aplicación tarda abrir confiable,mal robaron dinero envie qr recibio lentea aplicacion tarda abrir confiable,mal robar dinero envie qr recibio lentear aplicacion tardar abrir confiable
No deja crear cuentaaa,1,0,deja crear cuentaaa,deja crear cuentaaa,dejar crear cuentaaa
Me funcionaba bien la app sin ningún problema pero justo ahora que me toca hacer una transacción con urgencia se congela la app no me deja ingresar ni poder hacer nada por eso mi calificación ojalá mejoren cualquier error que tenga Yape es una lastima tener que cambiar,2,14,funcionaba bien app ningún problema justo ahora toca hacer transacción urgencia congela app deja ingresar poder hacer calificación ojalá mejoren cualquier error yape lastima tener cambiar,funcionaba bien app ningun problema justo ahora toca hacer transaccion urgencia congela app deja ingresar poder hacer calificacion ojala mejoren cualquier error yape lastima tener cambiar,funcionar bien app ningun problema justo ahora tocar hacer transaccion urgencio congela app dejar ingresar poder hacer calificacion ojala mejorar cualquiera error yape lastima tener cambiar
Excelente,5,0,excelente,excelente,excelente
Pésima aplicación no entra,1,0,pésima aplicación entra,pesima aplicacion entra,pesimar aplicacion entrar
Por wue no interesa al apk,1,0,wue interesa apk,wue interesa apk,wue interés apk
Cuando más uno está necesitando de la app no da que asco NO LA RECOMIENDO PARA NADA,1,0,necesitando app da asco recomiendo,necesitando app da asco recomiendo,necesitar app dar asco recomeir
Buenas,5,0,buenas,buenas,buena
Excelente,5,0,excelente,excelente,excelente
No entra mi dinero se quedo atrapado estoy varado... Saquen todo su dinero ya que esta app se está autodestruyendo.,1,1,entra dinero quedo atrapado varado saquen dinero app autodestruyendo,entra dinero quedo atrapado varado saquen dinero app autodestruyendo,entrar dinero quedo atrapado varado saquen dinero app autodestruir
Una macana,1,0,macana,macana,macán
se v ala señal en ratos ...,3,0,v ala señal ratos,v ala senal ratos,v ala senal ratos
"Desgraciadamente ahora quise hacer un pago y me salió error, luego vi mi saldo y ya se había debitado pero el pago no se hizo efectivo, ¿ahora quién me devuelve el monto debitado?",1,124,desgraciadamente ahora quise hacer pago salió error luego vi saldo debitado pago hizo efectivo ¿ahora quién devuelve monto debitado,desgraciadamente ahora quise hacer pago salio error luego vi saldo debitado pago hizo efectivo ¿ahora quien devuelve monto debitado,desgraciadamente ahora querer hacer pago salio error luego ver saldo debitado pago hacer efectivo ¿ ahora quien devolver monto debitado
Desde hace días . Me cuesta ingresar a la aplicación por favor dar alguna solución. Uno quiere tener a la mano la aplicación no esperar horas y horas para que pueda uno ingresar,3,3,hace días cuesta ingresar aplicación favor dar alguna solución quiere tener mano aplicación esperar horas horas pueda ingresar,hace dias cuesta ingresar aplicacion favor dar alguna solucion quiere tener mano aplicacion esperar horas horas pueda ingresar,hacer dia costar ingresar aplicacion favor dar alguno solucion querer tener mano aplicacion esperar hora hora poder ingresar
Buena y eficiente,5,0,buena eficiente,buena eficiente,buen eficiente
Nose que pasa con la aplicación no puedo ingresar a mi cuenta desde hace tiempo,1,1,nose pasa aplicación puedo ingresar cuenta hace tiempo,nose pasa aplicacion puedo ingresar cuenta hace tiempo,no él pasar aplicacion poder ingresar cuenta hacer tiempo
"Pesimo , la app se traba y no sabes si transferiste o no el dinero",1,0,pesimo app traba sabes si transferiste dinero,pesimo app traba sabes si transferiste dinero,pesimo app trar saber si transferistar dinero
"Funciona muy muy mal, no carga nada, se queda trabado, quiero iniciar sesión y no me deja, muy mala",1,2,funciona mal carga queda trabado quiero iniciar sesión deja mala,funciona mal carga queda trabado quiero iniciar sesion deja mala,funcionar mal carga quedar trabado querer iniciar sesion dejar malo
